left_record_uid,right_record_uid,left_source,right_source,left_name,right_name,left_status,right_status,distance_m,name_score,match_rule,is_grouped_match
FracTracker:frac_row_1207,PNNL:building_00693390023,FracTracker,PNNL,Dulles Commerce,Amazon IAD121,Expanding,Operating/inferred,582.635,0.0,candidate_only,False
NAICS:naics_231,PNNL:building_00054383197,NAICS,PNNL,SAVVIS COMMUNICATIONS - SC5,CoreSite SV9,Operating/inferred,Operating/inferred,583.092,0.0,candidate_only_code_conflict,False
FracTracker:frac_row_842,PNNL:building_00460050155,FracTracker,PNNL,44490 CHILUM PL,Equinix Ashburn DC10,Operating,Operating/inferred,583.326,0.0,candidate_only,False
NAICS:naics_534,PNNL:building_00058708529,NAICS,PNNL,CYXTERA COMMUNICATIONS  LLC - SC8,QTS Santa Clara 2,Operating/inferred,Operating/inferred,583.735,0.0,candidate_only_code_conflict,False
NAICS:naics_332,PNNL:building_00300162675,NAICS,PNNL,VA2 DATA CENTER,Digital Realty ACC6,Operating/inferred,Operating/inferred,583.93,0.0,candidate_only_code_conflict,False
FracTracker:frac_row_569,NAICS:naics_427,FracTracker,NAICS,Google,DESIGN LLC,Proposed,Operating/inferred,584.213,0.0,candidate_only_low_specificity,False
FracTracker:frac_row_569,NAICS:naics_467,FracTracker,NAICS,Google,TLK FACILITY,Proposed,Operating/inferred,584.213,0.0,candidate_only_low_specificity,False
FracTracker:frac_row_849,PNNL:building_00234722029,FracTracker,PNNL,ACC7 Digital Realty,Equinix Ashburn DC2,Operating,Operating/inferred,584.249,0.0,candidate_only_code_conflict,False
FracTracker:frac_row_388,PNNL:building_01433936352,FracTracker,PNNL,Meta Data Center (KCM),,Operating,Operating/inferred,584.405,0.0,candidate_only,False
FracTracker:frac_row_1227,PNNL:building_01227777116,FracTracker,PNNL,ME-DC Pacific,Vantage VA13,Proposed,Operating/inferred,584.501,0.0,candidate_only,False
NAICS:naics_286,PNNL:building_00116005354,NAICS,PNNL,APPLE MAIDEN DATA CENTER,,Operating/inferred,Operating/inferred,584.649,0.0,candidate_only_low_specificity,False
NAICS:naics_332,PNNL:building_00596690174,NAICS,PNNL,VA2 DATA CENTER,Amazon IAD80,Operating/inferred,Operating/inferred,584.757,0.0,candidate_only_code_conflict,False
FracTracker:frac_row_1071,PNNL:building_00996723585,FracTracker,PNNL,Iron Mountain Building 7,Iron Mountain VA-2,Proposed,Operating/inferred,584.834,0.6,candidate_only_code_conflict,False
FracTracker:frac_row_52,PNNL:building_00209076412,FracTracker,PNNL,Digital Realty SJC14,Digital Realty Silicon Valley SJC11,Proposed,Operating/inferred,584.862,1.0,candidate_only_code_conflict,False
FracTracker:frac_row_766,PNNL:building_01426525217,FracTracker,PNNL,Red Oak Data Center Campus,Compass Data Center,Approved/Permitted/Under construction,Operating/inferred,584.893,0.0,candidate_only,False
FracTracker:frac_row_1202,PNNL:campus_00460056018,FracTracker,PNNL,DCT DULLES DOWNS Land Bay B,,Operating,Operating/inferred,585.451,0.0,candidate_only,False
FracTracker:frac_row_1222,PNNL:building_01188680254,FracTracker,PNNL,IAD76,QTS Ashburn Lockridge,Operating,Operating/inferred,585.456,0.0,candidate_only,False
FracTracker:frac_row_1074,NAICS:naics_358,FracTracker,NAICS,KH Data Capital Development,"AMAZON DATA SERVICES, INC. IAD-75 IAD-85 IAD-95 IAD-96",Operating,Operating/inferred,585.632,0.0,candidate_only,False
NAICS:naics_230,PNNL:building_00209087373,NAICS,PNNL,"1100 SPACE PARK, LLC",Silicon Valley SJC31,Operating/inferred,Operating/inferred,585.875,0.0,candidate_only_low_specificity,False
NAICS:naics_14,PNNL:building_01177893426,NAICS,PNNL,22810-22860 INTERNATIONAL DRIVE LLC,Amazon IAD603,Operating/inferred,Operating/inferred,585.972,0.0,candidate_only,False
FracTracker:frac_row_562,PNNL:building_00899634245,FracTracker,PNNL,Flexential Hillsboro 3,Stack Infrastructure Portland 3 Data Center -Bld POR3a,Operating,Operating/inferred,585.992,0.125,candidate_only_code_conflict,False
FracTracker:frac_row_835,PNNL:building_01088203906,FracTracker,PNNL,21455 Beaumeade Circle,Amazon Web Services,Proposed,Operating/inferred,586.343,0.0,candidate_only,False
FracTracker:frac_row_846,PNNL:building_00300162674,FracTracker,PNNL,ACC11 Digital Realty,Digital Realty ACC5,Expanding,Operating/inferred,586.989,1.0,candidate_only_code_conflict,False
FracTracker:frac_row_560,PNNL:building_00899634245,FracTracker,PNNL,Flexential Hillsboro 1,Stack Infrastructure Portland 3 Data Center -Bld POR3a,Operating,Operating/inferred,587.103,0.0,candidate_only_code_conflict,False
FracTracker:frac_row_865,PNNL:building_00298242335,FracTracker,PNNL,DBT-DATA ASHBURN HOLDING I,Digital Realty ACC3,Operating,Operating/inferred,587.29,0.0,candidate_only_code_conflict,False
NAICS:naics_235,PNNL:building_00054383197,NAICS,PNNL,CYXTERA COMMUNICATIONS  LLC SC4-5,CoreSite SV9,Operating/inferred,Operating/inferred,587.293,0.0,candidate_only_code_conflict,False
NAICS:naics_208,PNNL:building_00209073657,NAICS,PNNL,MISSION WEST PROPERTIES,Digital Realty Silicon Valley SJC29,Operating/inferred,Operating/inferred,587.491,0.0,candidate_only_low_specificity,False
FracTracker:frac_row_854,PNNL:building_00597970809,FracTracker,PNNL,ASH3 DC2,Digital Realty Northern Virginia IAD35,Operating,Operating/inferred,587.591,0.0,candidate_only_code_conflict,False
NAICS:naics_188,PNNL:building_00058708529,NAICS,PNNL,SAVVIS COMMUNICATIONS CORPORATION DBA CENTURYLINK,QTS Santa Clara 2,Operating/inferred,Operating/inferred,587.63,0.0,candidate_only,False
NAICS:naics_337,PNNL:building_00990537813,NAICS,PNNL,"AMAZON DATA SERVICES, INC. IAD-62/68/81/83/93/609/614",Amazon IAD83,Operating/inferred,Operating/inferred,587.64,0.182,candidate_only_code_conflict,False
FracTracker:frac_row_849,PNNL:building_01309123033,FracTracker,PNNL,ACC7 Digital Realty,Equinix Ashburn DC6,Operating,Operating/inferred,587.747,0.0,candidate_only_code_conflict,False
FracTracker:frac_row_780,PNNL:building_01010260674,FracTracker,PNNL,AWS Rockfish,,Approved/Permitted/Under construction,Operating/inferred,587.833,0.0,candidate_only,False
FracTracker:frac_row_885,NAICS:naics_190,FracTracker,NAICS,MONTEREY DC ASSETS,DUPONT FABROS TECH - ASHBURN CORP CTR,Operating,Operating/inferred,587.966,0.0,candidate_only,False
